ticker,date,open,high,low,close
BTRST,2022-05-14,2.92202,3.11844,2.85585,3.05241
BTRST,2022-05-15,3.05971,3.071,2.81462,2.89952
BTRST,2022-05-16,2.89852,2.91749,2.76912,2.77838
BTRST,2022-05-17,2.77838,2.8413,2.7624,2.78665
BTRST,2022-05-18,2.78737,2.79264,2.64156,2.64955
BTRST,2022-05-19,2.64955,2.68758,2.59314,2.62038
BTRST,2022-05-20,2.61564,2.6351,2.51772,2.51997
BTRST,2022-05-21,2.52397,2.52597,2.48102,2.49375
BTRST,2022-05-22,2.48951,2.52197,2.4578,2.51897
BTRST,2022-05-23,2.51897,2.55045,2.42409,2.48177
BTRST,2022-05-24,2.48002,2.59914,2.40335,2.48377
BTRST,2022-05-25,2.48477,2.52471,2.42433,2.47128
BTRST,2022-05-26,2.46504,2.47103,1.20455,2.43556
BTRST,2022-05-27,2.42857,3.41558,2.42158,2.68105
BTRST,2022-05-28,2.68132,2.72062,2.0338,2.51808
BTRST,2022-05-29,2.52599,2.52699,2.37736,2.39046
BTRST,2022-05-30,2.3936,2.49475,2.38835,2.46003
BTRST,2022-05-31,2.46727,2.49875,2.42906,2.45803
BTRST,2022-06-01,2.45104,2.45903,2.37886,2.38285
BTRST,2022-06-02,2.37986,2.40983,2.37962,2.39085
BTRST,2022-06-03,2.39085,2.442,2.37486,2.39591
BTRST,2022-06-04,2.39591,2.43607,2.36908,2.43018
BTRST,2022-06-05,2.43415,2.46678,2.31986,2.32281
BTRST,2022-06-06,2.32681,2.41799,2.32379,2.37101
BTRST,2022-06-07,2.36703,2.37105,2.27538,2.3141
BTRST,2022-06-08,2.32026,2.40063,1.70679,2.254
BTRST,2022-06-09,2.25833,2.37101,2.15725,2.36599
BTRST,2022-06-10,2.37629,2.39891,2.35714,2.38397
BTRST,2022-06-11,2.3825,2.39627,2.337,2.35232
BTRST,2022-06-12,2.34734,2.41814,2.34734,2.39805
BTRST,2022-06-13,2.39702,2.40701,2.0,2.024
BTRST,2022-06-14,2.021,2.031,1.781,1.802
BTRST,2022-06-15,1.806,1.857,1.725,1.783
BTRST,2022-06-16,1.75507,1.85,1.7,1.723
BTRST,2022-06-17,1.69765,1.71661,1.568,1.582
BTRST,2022-06-18,1.583,1.626,1.306,1.35
BTRST,2022-06-19,1.35349,1.49356,1.30398,1.43078
BTRST,2022-06-20,1.43234,1.57011,1.40991,1.46714
BTRST,2022-06-21,1.46728,3.95654,1.46564,2.619
BTRST,2022-06-22,2.627,2.834,1.898,2.006
BTRST,2022-06-23,1.989,2.103,1.841,1.862
BTRST,2022-06-24,1.87412,2.001,1.85,1.888
BTRST,2022-06-25,1.894,1.91,1.676,1.837
BTRST,2022-06-26,1.853,1.918,1.678,1.884
BTRST,2022-06-27,1.875,1.883,1.634,1.649
BTRST,2022-06-28,1.65045,2.08545,1.58468,1.7888
BTRST,2022-06-29,1.73884,2.36513,1.6,1.894
BTRST,2022-06-30,1.892,2.13728,1.749,1.899
BTRST,2022-07-01,1.9117,2.035,1.84378,2.001
BTRST,2022-07-02,2.004,2.103,1.935,1.997
BTRST,2022-07-03,2.004,2.069,1.957,2.039
BTRST,2022-07-04,2.04434,2.06531,1.95265,2.02257
BTRST,2022-07-05,2.01758,2.13465,1.96863,2.04774
BTRST,2022-07-06,2.05374,2.13665,2.02377,2.07472
BTRST,2022-07-07,2.07472,2.11767,2.02377,2.08475
BTRST,2022-07-08,2.08475,2.11488,2.07875,2.09174
BTRST,2022-07-09,2.09474,2.11673,2.08075,2.10973
BTRST,2022-07-10,2.11052,2.11773,2.05956,2.09774
BTRST,2022-07-11,2.10074,2.11352,2.06976,2.09311
BTRST,2022-07-12,2.09291,2.10211,2.02377,2.05274
BTRST,2022-07-13,2.04603,2.07992,1.82036,1.82036
BTRST,2022-07-14,1.83435,2.27064,1.72145,2.15471
BTRST,2022-07-15,2.14171,3.22606,2.07817,2.19712
BTRST,2022-07-16,2.19134,2.52949,2.17813,2.36529
BTRST,2022-07-17,2.36053,2.39252,2.17343,2.2124
BTRST,2022-07-18,2.21642,2.53729,1.75446,2.31644
BTRST,2022-07-19,2.31347,2.46746,2.27582,2.33337
BTRST,2022-07-20,2.334,2.37817,2.26707,2.28711
BTRST,2022-07-21,2.27825,2.29034,2.25295,2.2715
BTRST,2022-07-22,2.27657,2.28809,2.25547,2.2635
BTRST,2022-07-23,2.26652,2.27061,2.19498,2.23929
BTRST,2022-07-24,2.23843,2.26448,2.206,2.25545
BTRST,2022-07-25,2.25843,2.31516,2.15017,2.2012
BTRST,2022-07-26,2.1932,2.26023,2.17422,2.20133
BTRST,2022-07-27,2.19631,2.22353,2.03849,2.19651
BTRST,2022-07-28,2.19753,2.28346,1.52403,2.25445
BTRST,2022-07-29,2.25445,2.26361,0.9633,2.02783
BTRST,2022-07-30,2.03381,2.19977,2.00978,2.1227
BTRST,2022-07-31,2.11374,2.30558,2.0706,2.26952
BTRST,2022-08-01,2.27555,2.32968,2.20353,2.26068
